Time, Yaw, Pitch, Roll
sec, deg, deg, deg
56.821, 126.55, -0.14, -2.59
56.855, 126.56, -0.15, -2.58
56.888, 126.57, -0.16, -2.58
56.921, 126.57, -0.17, -2.57
56.955, 126.58, -0.19, -2.56
56.988, 126.59, -0.19, -2.56
57.021, 126.6, -0.19, -2.56
57.054, 126.61, -0.2, -2.56
57.088, 126.62, -0.21, -2.56
57.121, 126.63, -0.22, -2.55
57.154, 126.64, -0.24, -2.56
57.188, 126.65, -0.24, -2.55
57.222, 126.66, -0.24, -2.55
57.255, 126.67, -0.25, -2.54
57.288, 126.68, -0.25, -2.54
57.322, 126.69, -0.26, -2.54
57.355, 126.7, -0.26, -2.55
57.388, 126.72, -0.27, -2.54
57.421, 126.72, -0.28, -2.54
57.455, 126.74, -0.3, -2.54
57.488, 126.74, -0.3, -2.53
57.522, 126.74, -0.32, -2.54
57.554, 126.75, -0.32, -2.54
57.589, 126.77, -0.33, -2.53
57.621, 126.78, -0.34, -2.54
57.655, 126.78, -0.34, -2.53
57.688, 126.8, -0.34, -2.53
57.722, 126.82, -0.34, -2.52
57.755, 126.82, -0.36, -2.52
57.788, 126.83, -0.36, -2.51
57.821, 126.84, -0.37, -2.51
57.855, 126.85, -0.38, -2.5
57.888, 126.87, -0.37, -2.49
57.922, 126.88, -0.37, -2.48
57.954, 126.89, -0.37, -2.48
57.988, 126.9, -0.37, -2.48
58.022, 126.91, -0.38, -2.47
58.054, 126.91, -0.39, -2.47
58.089, 126.92, -0.39, -2.46
58.121, 126.93, -0.4, -2.46
58.154, 126.94, -0.41, -2.46
58.188, 126.95, -0.41, -2.46
58.221, 126.95, -0.42, -2.46
58.254, 126.97, -0.43, -2.46
58.288, 126.97, -0.44, -2.46
58.321, 126.97, -0.45, -2.46
58.355, 126.98, -0.46, -2.46
58.388, 126.99, -0.46, -2.46
58.421, 126.99, -0.47, -2.46
58.454, 127.0, -0.49, -2.47
58.488, 127.0, -0.5, -2.47
58.522, 127.0, -0.51, -2.47
58.554, 127.01, -0.52, -2.47
58.588, 127.01, -0.53, -2.48
58.622, 127.02, -0.53, -2.46
58.654, 127.04, -0.53, -2.46
58.688, 127.04, -0.53, -2.44
58.721, 127.05, -0.53, -2.44
58.755, 127.05, -0.54, -2.44
58.789, 127.07, -0.54, -2.44
58.821, 127.08, -0.54, -2.43
58.855, 127.08, -0.55, -2.43
58.888, 127.09, -0.55, -2.43
58.921, 127.09, -0.56, -2.43
58.955, 127.1, -0.57, -2.43
58.989, 127.11, -0.57, -2.44
59.021, 127.12, -0.57, -2.44
59.054, 127.12, -0.58, -2.44
59.088, 127.14, -0.57, -2.43
59.121, 127.15, -0.58, -2.43
59.154, 127.15, -0.59, -2.43
59.189, 127.15, -0.6, -2.44
59.221, 127.16, -0.6, -2.44
59.256, 127.16, -0.61, -2.44
59.287, 127.16, -0.62, -2.44
59.322, 127.16, -0.63, -2.44
59.354, 127.17, -0.63, -2.44
59.389, 127.17, -0.64, -2.45
59.421, 127.17, -0.65, -2.45
59.455, 127.19, -0.65, -2.45
59.488, 127.2, -0.65, -2.44
59.522, 127.21, -0.65, -2.44
59.555, 127.21, -0.65, -2.43
59.588, 127.22, -0.65, -2.43
59.622, 127.23, -0.65, -2.42
59.654, 127.23, -0.66, -2.43
59.689, 127.24, -0.66, -2.44
59.721, 127.25, -0.67, -2.44
59.755, 127.26, -0.67, -2.44
59.789, 127.27, -0.68, -2.45
59.822, 127.28, -0.67, -2.44
59.855, 127.28, -0.68, -2.45
59.889, 127.3, -0.68, -2.45
59.922, 127.31, -0.68, -2.45
59.955, 127.31, -0.68, -2.45
59.989, 127.32, -0.68, -2.45
60.023, 127.33, -0.68, -2.44
60.055, 127.33, -0.69, -2.45
60.088, 127.34, -0.7, -2.45
60.121, 127.35, -0.7, -2.45
60.155, 127.35, -0.71, -2.45
60.188, 127.35, -0.71, -2.45
60.222, 127.36, -0.72, -2.45
60.255, 127.37, -0.71, -2.45
60.288, 127.38, -0.71, -2.45
60.322, 127.4, -0.71, -2.46
60.354, 127.4, -0.73, -2.46
60.388, 127.41, -0.73, -2.46
60.422, 127.42, -0.73, -2.45
60.454, 127.42, -0.73, -2.45
60.488, 127.42, -0.73, -2.44
60.522, 127.43, -0.74, -2.44
60.554, 127.44, -0.74, -2.44
60.589, 127.44, -0.74, -2.44
60.622, 127.44, -0.75, -2.45
60.654, 127.45, -0.75, -2.45
60.688, 127.44, -0.77, -2.46
60.721, 127.45, -0.77, -2.45
60.756, 127.45, -0.78, -2.46
60.788, 127.43, -0.81, -2.48
60.822, 127.44, -0.81, -2.48
60.855, 127.43, -0.83, -2.48
60.888, 127.45, -0.82, -2.48
60.922, 127.45, -0.83, -2.48
60.955, 127.46, -0.84, -2.48
60.988, 127.47, -0.84, -2.48
61.022, 127.47, -0.84, -2.47
61.054, 127.47, -0.85, -2.48
61.088, 127.47, -0.87, -2.48
61.121, 127.48, -0.87, -2.48
61.155, 127.48, -0.87, -2.47
61.188, 127.48, -0.87, -2.48
61.222, 127.49, -0.87, -2.48
61.254, 127.5, -0.87, -2.48
61.288, 127.51, -0.87, -2.48
61.322, 127.52, -0.86, -2.47
61.354, 127.53, -0.86, -2.47
61.389, 127.54, -0.85, -2.48
61.421, 127.54, -0.86, -2.48
61.455, 127.54, -0.86, -2.47
61.488, 127.55, -0.86, -2.47
61.522, 127.56, -0.86, -2.48
61.554, 127.57, -0.86, -2.48
61.589, 127.57, -0.86, -2.47
61.621, 127.58, -0.86, -2.48
61.655, 127.59, -0.86, -2.48
61.687, 127.59, -0.87, -2.49
61.722, 127.6, -0.87, -2.49
61.755, 127.61, -0.87, -2.49
61.789, 127.61, -0.87, -2.49
61.821, 127.62, -0.87, -2.49
61.854, 127.63, -0.86, -2.49
61.888, 127.64, -0.86, -2.49
61.922, 127.64, -0.87, -2.49
61.954, 127.65, -0.88, -2.49
61.988, 127.66, -0.87, -2.48
62.022, 127.65, -0.88, -2.49
62.057, 127.66, -0.88, -2.5
62.089, 127.66, -0.88, -2.5
62.122, 127.67, -0.88, -2.51
62.156, 127.69, -0.87, -2.5
62.188, 127.69, -0.88, -2.51
62.222, 127.7, -0.88, -2.51
62.255, 127.71, -0.87, -2.51
62.288, 127.72, -0.87, -2.5
62.329, 127.73, -0.86, -2.5
62.356, 127.73, -0.86, -2.5
62.389, 127.74, -0.87, -2.5
62.421, 127.74, -0.86, -2.49
62.455, 127.75, -0.86, -2.49
62.488, 127.75, -0.86, -2.5
62.522, 127.76, -0.86, -2.49
62.555, 127.77, -0.87, -2.5
62.589, 127.78, -0.87, -2.5
62.621, 127.78, -0.87, -2.5
62.654, 127.78, -0.87, -2.51
62.688, 127.79, -0.88, -2.5
62.721, 127.8, -0.88, -2.5
62.755, 127.8, -0.89, -2.5
62.788, 127.8, -0.89, -2.51
62.822, 127.81, -0.89, -2.51
62.854, 127.81, -0.89, -2.5
62.888, 127.83, -0.88, -2.49
62.921, 127.84, -0.88, -2.49
62.955, 127.86, -0.87, -2.49
62.988, 127.87, -0.87, -2.49
63.022, 127.87, -0.87, -2.49
63.055, 127.88, -0.88, -2.49
63.089, 127.89, -0.88, -2.48
63.121, 127.89, -0.89, -2.49
63.154, 127.89, -0.89, -2.48
63.188, 127.89, -0.89, -2.48
63.221, 127.89, -0.9, -2.49
63.254, 127.9, -0.91, -2.5
63.288, 127.9, -0.91, -2.5
63.321, 127.91, -0.91, -2.49
63.354, 127.91, -0.92, -2.49
63.388, 127.91, -0.92, -2.49
63.421, 127.92, -0.92, -2.5
63.454, 127.92, -0.92, -2.5
63.488, 127.93, -0.92, -2.49
63.521, 127.93, -0.93, -2.5
63.555, 127.94, -0.93, -2.51
63.588, 127.95, -0.92, -2.51
63.621, 127.95, -0.92, -2.51
63.655, 127.96, -0.92, -2.51
63.688, 127.97, -0.93, -2.52
63.721, 127.97, -0.93, -2.52
63.754, 127.98, -0.93, -2.51
63.788, 128.0, -0.92, -2.51
63.822, 128.0, -0.92, -2.51
63.854, 128.01, -0.93, -2.51
63.888, 128.0, -0.94, -2.51
63.922, 128.01, -0.94, -2.52
63.954, 128.01, -0.94, -2.52
63.988, 128.02, -0.95, -2.52
64.021, 128.02, -0.95, -2.51
64.055, 128.02, -0.95, -2.52
64.088, 128.03, -0.94, -2.52
64.121, 128.04, -0.95, -2.52
64.155, 128.05, -0.95, -2.52
64.188, 128.06, -0.95, -2.52
64.222, 128.07, -0.95, -2.52
64.255, 128.07, -0.95, -2.53
64.288, 128.07, -0.96, -2.53
64.321, 128.08, -0.96, -2.53
64.354, 128.09, -0.96, -2.53
64.388, 128.1, -0.96, -2.53
64.421, 128.11, -0.95, -2.53
64.455, 128.11, -0.96, -2.53
64.488, 128.1, -0.97, -2.53
64.522, 128.11, -0.97, -2.53
64.554, 128.11, -0.97, -2.53
64.589, 128.11, -0.98, -2.54
64.621, 128.11, -0.99, -2.54
64.655, 128.12, -0.99, -2.54
64.688, 128.12, -0.99, -2.55
64.721, 128.12, -1.0, -2.55
64.755, 128.11, -1.01, -2.56
64.788, 128.11, -1.01, -2.56
64.822, 128.11, -1.01, -2.57
64.854, 128.11, -1.02, -2.57
64.888, 128.13, -1.01, -2.56
64.921, 128.14, -1.0, -2.56
64.955, 128.15, -1.0, -2.56
64.988, 128.16, -0.99, -2.57
65.022, 128.16, -0.99, -2.56
65.054, 128.17, -0.99, -2.56
65.088, 128.17, -0.99, -2.55
65.121, 128.19, -0.99, -2.54
65.155, 128.19, -0.99, -2.54
65.188, 128.2, -1.0, -2.54
65.222, 128.21, -0.99, -2.53
65.254, 128.21, -0.99, -2.54
65.287, 128.22, -1.0, -2.55
65.322, 128.22, -1.0, -2.55
65.354, 128.22, -1.0, -2.55
65.389, 128.23, -0.99, -2.55
65.422, 128.23, -0.99, -2.55
65.455, 128.23, -1.0, -2.56
65.488, 128.24, -1.0, -2.56
65.522, 128.25, -1.0, -2.56
